2599600	2	1	1819720	0	0	0	-1	-1	2600000000	2	0	-1	20000	2599600	1	2
1700226.64	0	1	1700226.64	0	1	1	-1	0	186652000	1400	1	117	-1	691510.14	17	1
1700226.64	0	1	1700226.64	0	1	1	-1	0	186652000	1400	1	117	-1	691510.14	17	1
980000	2	1	196000	0	0	2	-1	-1	1103093000	-1	0	-1	92000	980000	1	3
904720	0	1	904720	4	1	1	26	0	119500000	2539	0	-1	-1	356340	11	1
886016.74	0	1	354406.7	8	1	0	16	0	9900000	500	0	-1	-1	1154016.74	6	4
886016.74	0	1	354406.7	8	1	0	16	0	9900000	500	0	-1	-1	1154016.74	6	4
886016.74	0	1	354406.7	8	1	0	16	0	9900000	500	0	-1	-1	1154016.74	6	4
808798.2	0	1	0	11	1	3	21	0	0	300	0	9	-1	76680	2	5
717619	0	1	717619	5	1	1	26	0	119500000	2539	0	-1	-1	356340	11	1
700000	0	1	140000	0	0	2	4	-1	26800000	350	0	-1	-1	725000	3	3
677927.25	0	1	677927.25	2	1	1	-1	0	0	3500	0	-1	-1	20000	1	1
589600	0	1	0	0	0	3	13	-1	244882000	5	0	-1	-1	0	1	5
500000	0	1	0	0	0	3	23	0	15000000	2	0	-1	-1	0	0	5
500000	0	1	200000	0	0	2	16	-1	770925000	850	0	-1	-1	500000	1	4
500000	0	1	0	0	0	3	16	-1	0	300	0	9	-1	76680	2	5
499500	0	0	499500	1	1	1	22	0	186652000	1400	1	117	-1	691510.14	17	1
457095.3	0	1	457095.3	8	0	1	2	0	0	300	0	9	-1	76680	2	1
437000	0	1	174800	0	0	2	16	-1	-1	-1	0	-1	25000	461000	4	4
391230	0	1	0	2	1	3	2	0	0	300	0	9	-1	76680	2	5
388175.2	0	1	388175.2	15	2	1	16	0	35000000	186	1	2	-1	110375	5	1
375000	0	1	0	0	0	3	23	-1	165000000	100	1	5	40	0	0	5
351620.36	0	1	351620.36	15	0	1	4	0	165000000	100	1	5	40	0	0	1
350000	0	1	140000	0	1	2	10	-1	60000000	2552	0	-1	3200	583375.5	9	4
350000	0	1	0	0	0	3	23	-1	15000000	2	0	-1	-1	0	0	5
350000	0	1	140000	0	0	0	9	0	35000000	308	1	3	50	350000	1	4
317984	2	1	0	0	0	3	-1	-1	0	-1	0	-1	100000	0	0	5
300000	0	1	0	0	0	3	26	-1	35000000	308	1	3	50	350000	1	5
