2599600	5	2	1819720	0	4	1	-1	2600000000	2	0	-1	20000	2599600	1	3
1700226.64	1	2	1700226.64	0	1	5	-1	186652000	1400	1	117	-1	691510.14	17	1
1700226.64	1	2	1700226.64	0	1	5	-1	186652000	1400	1	117	-1	691510.14	17	1
980000	5	2	196000	0	4	3	-1	1103093000	-1	0	-1	92000	980000	1	5
904720	1	2	904720	4	1	5	12	119500000	2539	0	-1	-1	356340	11	1
886016.74	1	2	354406.7	8	1	1	20	9900000	500	0	-1	-1	1154016.74	6	6
886016.74	1	2	354406.7	8	1	1	20	9900000	500	0	-1	-1	1154016.74	6	6
886016.74	1	2	354406.7	8	1	1	20	9900000	500	0	-1	-1	1154016.74	6	6
808798.2	1	2	0	11	1	4	13	0	300	0	9	-1	76680	2	8
717619	1	2	717619	5	1	5	12	119500000	2539	0	-1	-1	356340	11	1
700000	1	2	140000	0	4	3	4	26800000	350	0	-1	-1	725000	3	5
677927.25	1	2	677927.25	2	1	5	-1	0	3500	0	-1	-1	20000	1	1
589600	1	2	0	0	4	4	15	244882000	5	0	-1	-1	0	1	8
500000	1	2	0	0	4	4	12	15000000	2	0	-1	-1	0	0	8
500000	1	2	200000	0	4	3	20	770925000	850	0	-1	-1	500000	1	6
500000	1	2	0	0	4	4	20	0	300	0	9	-1	76680	2	8
499500	1	1	499500	1	1	5	12	186652000	1400	1	117	-1	691510.14	17	1
457095.3	1	2	457095.3	8	4	5	3	0	300	0	9	-1	76680	2	1
437000	1	2	174800	0	4	3	20	-1	-1	0	-1	25000	461000	4	6
391230	1	2	0	2	1	4	3	0	300	0	9	-1	76680	2	8
388175.2	1	2	388175.2	15	3	5	20	35000000	186	1	2	-1	110375	5	1
375000	1	2	0	0	4	4	12	165000000	100	1	5	40	0	0	8
351620.36	1	2	351620.36	15	4	5	4	165000000	100	1	5	40	0	0	1
350000	1	2	140000	0	1	3	10	60000000	2552	0	-1	3200	583375.5	9	6
350000	1	2	0	0	4	4	12	15000000	2	0	-1	-1	0	0	8
350000	1	2	140000	0	4	1	8	35000000	308	1	3	50	350000	1	6
317984	5	2	0	0	4	4	-1	0	-1	0	-1	100000	0	0	8
300000	1	2	0	0	4	4	12	35000000	308	1	3	50	350000	1	8
300000	1	2	0	0	4	4	8	186652000	1400	1	117	-1	691510.14	17	8
293361	1	2	293361	2	1	5	-1	237200000	1000	0	-1	-1	74500	5	1
288900	1	2	202230	3	3	1	20	319000000	750	0	-1	-1	288900	1	3
263111.8	1	2	0	5	1	4	3	0	300	0	9	-1	76680	2	8
259386	1	2	0	0	4	4	20	-1	-1	0	-1	-1	0	0	8
255626	1	2	255626	0	4	5	-1	5800000000	2500	0	-1	30000	0	0	1
250935	1	2	250935	0	1	5	8	0	3500	0	-1	-1	20000	1	1
250000	1	2	0	0	4	4	4	0	300	0	9	-1	76680	2	8
250000	1	2	50000	0	4	3	4	186652000	1400	1	117	-1	691510.14	17	5
250000	1	2	50000	0	4	3	20	108119178	475	1	-1	-1	400000	2	5
229250	1	2	0	2	1	4	13	60000000	2552	0	-1	3200	583375.5	9	8
227347	1	2	0	16	3	4	3	35000000	186	1	2	-1	110375	5	8
225000	1	2	0	0	4	4	13	6100000	120	1	4	35	18500	3	8
220000	1	2	0	0	4	4	10	999000000	2500	1	-1	30000	0	0	8
218000	1	2	87200	0	3	1	10	9900000	500	0	-1	-1	1154016.74	6	6
206000	1	2	82400	0	4	3	4	0	6	0	-1	15000	206000	2	6
203669.63	1	2	0	8	4	4	13	17224097	91	0	-1	-1	180000	3	8
200450.76	1	2	200450.76	10	1	5	8	8700000	101	0	-1	-1	0	0	1
200000	1	2	0	0	4	4	12	14000000	1600	1	-1	-1	67475.4	5	8
200000	1	2	0	0	4	4	-1	35000000	186	1	2	-1	110375	5	8
200000	1	2	0	0	4	3	13	9900000	500	0	-1	-1	1154016.74	6	4
200000	1	2	0	0	4	4	12	8700000	101	0	-1	-1	0	0	8
200000	1	2	40000	0	4	3	4	119500000	2539	0	-1	-1	356340	11	5
200000	1	2	0	0	4	4	4	6100000	120	1	4	35	18500	3	4
200000	1	2	0	0	4	4	4	0	240	0	1	-1	0	0	8
200000	1	2	0	0	1	4	-1	14800000	370	0	-1	-1	0	0	8
200000	1	2	40000	0	4	3	10	278856691	1000	0	-1	-1	735700	5	5
200000	1	2	40000	0	4	3	20	0	249	0	-1	-1	200000	1	5
200000	1	2	0	0	4	4	13	4800000	52	0	3	-1	25000	1	8
200000	1	2	0	0	4	4	-1	9300000	134	1	-1	-1	178900	5	8
200000	1	2	0	0	4	4	-1	457000000	750	0	1	1	500000	5	8
176100	1	2	176100	16	1	5	12	119500000	2539	0	-1	-1	356340	11	1
175000	1	2	0	0	4	4	12	850000	87	0	1	10	0	0	8
175000	1	2	0	0	1	4	12	186652000	1400	1	117	-1	691510.14	17	8
173693.4	1	2	173693.4	18	4	5	12	850000	87	0	1	10	0	0	1
170000	1	2	68000	0	1	3	17	9300000	134	1	-1	-1	178900	5	6
162875.25	1	2	162875.25	12	4	5	20	2300000	61	1	4	1	39937.5	2	1
162600	1	2	65040	6	4	1	20	186652000	1400	1	117	-1	691510.14	17	6
162183.52	1	2	162183.52	21	4	5	-1	13500000	129	1	-1	-1	107500	2	1
